# Elevation-Storage Curves for Reservoirs
#
# Some data sources report water surface elevation rather than storage volume.
# This file contains the lookup tables to convert elevation (ft) to storage (af).
#
# Format: location_id, elevation_ft, storage_af
# - Each location_id can have multiple rows defining the curve
# - Elevations should be in ascending order
# - Linear interpolation is used between points
#
# Sources:
# - 11507001 (Upper Klamath Lake): 2017 revision of UKL elevation-capacity curve
#   from KBAO Hydro Team (Daily_UKL_net_inflow_Apr2017_FINAL), revised 14Apr2017
#   Units: elevation = ft BOR datum, storage = acre-feet
#   Table includes present configuration with northern marshes and Tulana Farms/Goose Bay
#
# - 10337000 (Lake Tahoe A Tahoe City CA): elevation-capacity curve from Gregg
#   Reynolds / Lahontan Basin Area Office (LBAO), via config/Book4.xlsx.
#   IMPORTANT: Tahoe rows are indexed by USGS gage height
#   (= lake_surface_elev_LTD - 6220.00 ft), NOT by lake-surface elevation.
#   The USGS gage datum at Lake Tahoe sits at 6220.00 ft LTD, which is ~3 ft
#   BELOW the natural rim of Lake Tahoe (6223.00 ft LTD). Therefore:
#     gage_height = 0.0  -> lake surface at 6220.00 LTD (well below rim)
#     gage_height = 3.0  -> lake surface at 6223.00 LTD (natural rim, storage = 0)
#     gage_height = 9.1  -> lake surface at 6229.10 LTD (legal max, ~744,000 af)
#     gage_height = 9.5  -> lake surface at 6229.50 LTD (curve max, 793,920 af)
#   Storage at and below the natural rim is clamped to 0 acre-feet.
#   Range: gage_height -1.00 to +9.50 ft, storage 0 to 793,920 ac-ft.
#   Units: elevation_ft = gage_height ft above local gage datum, storage = acre-feet
#
location_id,elevation_ft,storage_af
10337000,6.32,403770
10337000,6.33,404990
10337000,6.34,406210
10337000,6.35,407430
10337000,6.36,408650
10337000,6.37,409870
10337000,6.38,411090
10337000,6.39,412310
10337000,6.4,413530
10337000,6.41,414750
10337000,6.42,415970
10337000,6.43,417190
10337000,6.44,418410
10337000,6.45,419630
10337000,6.46,420850
10337000,6.47,422070
10337000,6.48,423290
10337000,6.49,424510
10337000,6.5,425730
10337000,6.51,426950
10337000,6.52,428170
10337000,6.53,429390
10337000,6.54,430610
10337000,6.55,431830
10337000,6.56,433050
10337000,6.57,434270
10337000,6.58,435490
10337000,6.59,436710
10337000,6.6,437930
10337000,6.61,439151
10337000,6.62,440372
10337000,6.63,441593
10337000,6.64,442814
10337000,6.65,444035
10337000,6.66,445256
10337000,6.67,446477
10337000,6.68,447698
10337000,6.69,448919
10337000,6.7,450140
10337000,6.71,451361
10337000,6.72,452582
10337000,6.73,453803
10337000,6.74,455024
10337000,6.75,456245
10337000,6.76,457466
10337000,6.77,458687
10337000,6.78,459908
10337000,6.79,461129
10337000,6.8,462350
10337000,6.81,463571
10337000,6.82,464792
10337000,6.83,466013
10337000,6.84,467234
10337000,6.85,468455
10337000,6.86,469676
10337000,6.87,470897
10337000,6.88,472118
10337000,6.89,473339
10337000,6.9,474560
10337000,6.91,475781
10337000,6.92,477002
10337000,6.93,478223
10337000,6.94,479444
10337000,6.95,480665
10337000,6.96,481886
10337000,6.97,483107
10337000,6.98,484328
10337000,6.99,485549
10337000,7.0,486770
10337000,7.01,487992
10337000,7.02,489214
10337000,7.03,490436
10337000,7.04,491658
10337000,7.05,492880
10337000,7.06,494102
10337000,7.07,495324
10337000,7.08,496546
10337000,7.09,497768
10337000,7.1,498990
10337000,7.11,500212
10337000,7.12,501434
10337000,7.13,502656
10337000,7.14,503878
10337000,7.15,505100
10337000,7.16,506322
10337000,7.17,507544
10337000,7.18,508766
10337000,7.19,509988
10337000,7.2,511210
10337000,7.21,512433
10337000,7.22,513656
